ID	protein_1	protein_2	protein_3	protein_4	protein_5	protein_6	protein_7	protein_8	protein_9	protein_10	protein_11	protein_12	protein_13	protein_14	protein_15	protein_16	protein_17	protein_18	protein_19	protein_20	protein_21	protein_22	protein_23	protein_24	protein_25	protein_26	protein_27	protein_28	protein_29	protein_30	protein_31	protein_32	protein_33	protein_34	protein_35	protein_36	protein_37	protein_38	protein_39	protein_40	protein_41	protein_42	protein_43	protein_44	protein_45	protein_46	protein_47	protein_48	protein_49	protein_50	protein_51	protein_52	protein_53	protein_54	protein_55	protein_56	protein_57	protein_58	protein_59	protein_60	protein_61	protein_62	protein_63	protein_64	protein_65	protein_66	protein_67	protein_68	protein_69	protein_70	protein_71	protein_72	protein_73	protein_74	protein_75	protein_76	protein_77	protein_78	protein_79	protein_80	protein_81	protein_82	protein_83	protein_84	protein_85	protein_86	protein_87	protein_88	protein_89	protein_90	protein_91	protein_92	protein_93	protein_94	protein_95	protein_96	protein_97	protein_98	protein_99	protein_100	protein_101	protein_102	protein_103	protein_104	protein_105	protein_106	protein_107	protein_108	protein_109	protein_110	protein_111	protein_112	protein_113	protein_114	protein_115	protein_116	protein_117	protein_118	protein_119	protein_120	protein_121	protein_122	protein_123	protein_124	protein_125	protein_126	protein_127	protein_128	protein_129	protein_130	protein_131	protein_132	protein_133	protein_134	protein_135	protein_136	protein_137	protein_138	protein_139	protein_140	protein_141	protein_142	protein_143	protein_144	protein_145	protein_146	protein_147	protein_148	protein_149	protein_150	protein_151	protein_152	protein_153	protein_154	protein_155	protein_156	protein_157	protein_158	protein_159	protein_160	protein_161	protein_162	protein_163	protein_164	protein_165	protein_166	protein_167	protein_168	protein_169	protein_170	protein_171	protein_172	protein_173	protein_174	protein_175	protein_176	protein_177	protein_178	protein_179	protein_180	protein_181	protein_182	protein_183	protein_184	protein_185	protein_186	protein_187	protein_188	protein_189	protein_190	protein_191	protein_192	protein_193	protein_194	protein_195	protein_196	protein_197	protein_198	protein_199	protein_200	protein_201	protein_202	protein_203	protein_204	protein_205	protein_206	protein_207	protein_208	protein_209	protein_210	protein_211	protein_212	protein_213	protein_214	protein_215	protein_216	protein_217	protein_218	protein_219	protein_220	protein_221	protein_222	protein_223	protein_224	protein_225	protein_226	protein_227	protein_228	protein_229	protein_230	protein_231	protein_232	protein_233	protein_234	protein_235	protein_236	protein_237	protein_238	protein_239	protein_240	protein_241	protein_242	protein_243	protein_244	protein_245	protein_246	protein_247	protein_248	protein_249	protein_250	protein_251	protein_252	protein_253	protein_254	protein_255	protein_256	protein_257	protein_258	protein_259	protein_260	protein_261	protein_262	protein_263	protein_264	protein_265	protein_266	protein_267	protein_268	protein_269	protein_270	protein_271	protein_272	protein_273	protein_274	protein_275	protein_276	protein_277	protein_278	protein_279	protein_280	protein_281	protein_282	protein_283	protein_284	protein_285	protein_286	protein_287	protein_288	protein_289	protein_290	protein_291	protein_292	protein_293	protein_294	protein_295	protein_296	protein_297	protein_298	protein_299	protein_300	protein_301	protein_302	protein_303	protein_304	protein_305	protein_306	protein_307	protein_308	protein_309	protein_310	protein_311	protein_312	protein_313	protein_314	protein_315	protein_316	protein_317	protein_318	protein_319	protein_320	protein_321	protein_322	protein_323	protein_324	protein_325	protein_326	protein_327	protein_328	protein_329	protein_330	protein_331	protein_332	protein_333	protein_334	protein_335	protein_336	protein_337	protein_338	protein_339	protein_340	protein_341	protein_342	protein_343	protein_344	protein_345	protein_346	protein_347	protein_348	protein_349	protein_350	protein_351	protein_352	protein_353	protein_354	protein_355	protein_356	protein_357	protein_358	protein_359	protein_360	protein_361	protein_362	protein_363	protein_364	protein_365	protein_366	protein_367	protein_368	protein_369	protein_370	protein_371	protein_372	protein_373
734	0	12	15	15	0	15	28	0	22	0	11	18	19	14	3	17	0	20	11	0	8	16	6	16	0	17	0	0	0	17	0	16	16	22	14	30	14	14	0	28	4	0	0	0	27	0	0	22	23	11	18	12	15	0	3	23	17	19	20	6	18	9	15	11	16	0	0	0	15	0	15	7	25	2	21	8	18	12	6	0	19	0	17	0	0	0	17	15	18	20	22	8	8	22	18	11	0	0	11	11	0	22	15	21	0	0	23	5	20	11	0	30	8	16	18	25	5	4	30	4	8	15	0	25	0	16	30	17	15	0	19	15	21	0	21	11	8	16	23	13	5	0	0	17	0	0	0	19	0	0	12	5	8	17	10	0	0	0	14	0	0	0	11	0	0	18	0	12	7	12	0	11	1	0	21	24	0	12	11	0	22	25	0	18	21	0	0	1	22	24	22	13	19	1	16	12	4	0	0	0	20	19	12	11	21	19	5	2	21	17	0	0	0	14	10	27	13	17	20	0	7	0	13	18	12	10	8	21	22	14	0	25	13	15	14	16	25	0	0	14	19	0	19	0	0	3	0	0	15	20	9	2	11	9	0	0	18	0	13	12	2	0	22	0	0	25	0	9	13	17	0	0	0	0	5	13	21	22	0	15	0	0	20	7	9	12	6	13	26	20	15	0	9	27	2	26	0	20	5	16	0	0	29	22	6	0	23	21	12	16	15	15	21	0	0	24	0	21	18	12	0	0	15	0	9	7	12	25	12	25	15	11	11	21	17	22	23	20	0	26	8	0	23	20	13	21	17	17	0	0	20	28	19	15	0	14	17	19	0	3	12	5	10	0	7	21	0	28	0	14	0	9	18
735	17	12	11	36	0	8	13	19	20	15	18	21	0	0	13	21	17	14	24	7	7	16	21	0	14	21	17	8	0	0	23	15	7	12	0	19	22	12	19	14	20	29	18	17	10	7	10	18	0	0	0	8	2	8	15	0	22	19	14	22	17	15	23	5	1	0	10	21	21	19	0	18	0	11	0	0	13	12	0	0	12	0	26	0	28	0	23	0	33	16	9	17	15	0	0	0	0	22	0	20	0	17	0	21	17	16	20	13	0	0	11	17	1	2	0	12	0	17	0	10	10	0	21	14	16	15	0	19	5	29	0	16	12	0	21	24	0	25	24	0	13	0	16	0	5	0	3	19	0	20	16	0	12	17	21	17	2	0	8	14	9	12	18	33	0	0	0	10	4	16	26	15	13	19	4	14	25	12	25	9	10	0	14	0	7	22	13	0	0	10	14	18	7	0	27	7	0	0	12	0	25	6	9	22	0	11	10	2	13	17	19	10	4	23	15	13	23	0	9	0	4	7	26	17	20	6	0	9	17	22	19	20	6	12	13	3	11	29	10	18	25	23	0	0	22	0	3	9	14	16	14	17	16	32	0	23	11	15	7	0	12	20	7	6	13	26	5	24	17	7	0	13	13	15	2	5	15	15	21	0	13	0	16	14	16	0	14	3	18	17	24	12	23	8	9	0	0	0	0	0	19	20	12	16	10	13	13	9	0	15	15	0	21	0	0	14	22	0	11	20	22	15	17	0	0	9	2	13	15	39	17	20	25	12	0	25	17	0	11	12	0	7	0	16	20	19	11	13	0	16	11	2	0	4	6	15	8	15	0	14	11	20	11	16	0	3	0	23	20	24	14	21	23
736	12	0	16	21	0	10	20	26	18	18	20	3	0	14	19	19	19	24	25	10	0	0	10	15	0	9	11	0	33	23	9	0	19	18	15	14	0	0	12	26	14	0	23	9	25	22	11	0	7	5	25	27	13	25	9	20	0	20	0	0	12	15	23	10	0	0	9	4	0	0	0	0	15	16	10	13	26	17	9	19	24	31	18	0	9	12	0	0	20	23	0	0	0	20	0	0	20	23	11	6	6	7	27	0	0	15	14	9	14	19	0	33	11	3	11	2	26	13	7	18	13	17	23	13	17	23	25	13	18	16	21	6	0	31	9	0	11	19	21	14	18	0	0	6	0	12	14	0	14	29	15	15	3	5	0	20	15	19	12	14	12	13	19	0	9	8	23	23	23	21	2	8	22	13	19	12	27	15	13	18	19	22	8	2	14	12	9	14	30	0	0	7	17	19	9	10	24	18	8	13	10	18	4	0	21	19	10	0	21	0	32	18	16	15	0	8	10	0	15	19	0	10	15	0	19	15	17	13	17	24	0	6	15	0	25	25	0	15	0	15	10	19	14	14	0	22	29	11	17	0	9	5	17	16	11	34	10	4	15	15	17	12	23	32	0	0	2	0	1	5	14	6	20	16	0	4	10	22	11	0	0	12	0	12	0	8	19	21	0	9	20	7	7	15	8	18	0	23	0	9	0	18	0	0	16	0	14	21	28	19	0	16	9	10	0	0	14	3	0	12	26	26	19	29	0	9	26	21	0	0	7	17	16	13	0	12	11	9	6	3	0	0	8	14	31	16	0	10	0	0	12	22	8	13	18	0	0	9	23	0	18	23	7	12	16	0	24	12	12	0	0	24	5
737	0	7	8	17	16	15	14	0	20	0	20	15	0	20	4	18	23	8	0	4	5	25	0	0	10	22	8	0	14	14	10	0	8	0	27	11	8	15	21	21	0	6	0	8	0	16	28	0	12	23	8	7	0	15	16	0	12	22	15	0	0	24	2	3	0	14	7	16	0	22	25	23	17	0	10	13	23	7	22	7	0	28	10	4	17	0	0	8	16	24	4	13	8	7	15	19	31	10	13	19	10	16	15	7	8	20	16	17	22	14	0	26	16	16	0	19	4	0	0	21	0	22	19	12	14	0	18	20	10	7	10	24	0	12	0	12	26	17	13	5	19	0	11	14	17	10	6	29	16	0	0	15	9	24	16	0	18	0	13	14	0	16	0	0	3	0	19	0	17	10	18	19	9	27	3	19	16	0	13	14	15	14	30	0	27	0	0	20	13	0	24	20	11	14	0	14	14	0	25	10	6	18	0	11	18	20	23	11	6	0	14	13	8	16	0	9	18	20	10	0	17	15	11	12	12	18	0	20	0	6	20	22	0	9	0	18	6	10	12	0	0	6	0	20	0	9	11	23	5	13	15	14	14	21	26	12	0	20	11	9	23	8	0	22	16	29	23	19	0	15	24	25	0	20	0	19	0	8	7	9	13	15	16	18	0	14	9	17	19	8	19	16	14	5	5	24	0	0	11	0	12	16	6	24	12	20	0	18	0	8	18	17	0	21	9	0	4	0	16	14	29	0	17	1	6	20	8	0	16	16	10	0	0	0	20	19	0	28	0	27	0	15	4	0	17	24	19	20	29	26	3	0	5	3	0	20	30	17	17	0	22	13	0	16	18	0	23	15	22	0	28	0	18
738	23	0	14	16	0	14	17	27	34	8	21	0	0	18	14	0	0	17	0	21	13	0	22	0	14	17	13	18	4	16	0	14	22	12	12	30	9	3	7	30	18	16	0	25	0	7	0	36	0	23	0	11	10	16	0	0	18	19	0	20	0	18	2	0	7	0	16	10	12	21	13	19	30	0	21	23	0	6	15	0	11	0	23	17	7	21	19	0	20	16	18	9	0	0	9	24	11	19	9	0	8	2	0	0	7	0	0	11	0	0	0	0	18	14	12	19	17	15	9	7	20	0	17	0	9	6	0	17	10	11	30	29	22	25	20	18	18	20	0	14	29	10	10	0	11	13	10	17	0	14	12	6	20	0	11	14	31	0	12	24	15	19	9	15	21	0	14	7	6	13	7	5	14	15	17	22	13	15	19	23	23	14	36	0	24	26	12	22	23	19	22	14	18	0	21	18	0	23	11	25	8	0	25	0	17	0	12	34	0	17	17	8	0	14	16	2	22	18	6	25	26	15	23	0	0	0	0	18	25	21	18	14	10	18	0	7	29	0	14	0	15	14	4	0	14	0	12	18	5	0	12	20	3	0	16	18	10	23	0	0	0	19	2	5	11	13	16	16	8	0	21	23	3	4	9	15	0	1	30	13	18	10	0	18	6	0	20	19	5	16	31	26	14	7	11	0	16	11	10	14	11	14	0	16	25	0	15	17	20	17	19	9	0	0	0	2	0	14	18	18	0	20	18	18	15	32	13	17	18	10	16	22	21	16	0	0	5	17	1	8	18	0	12	18	11	19	0	20	0	22	7	0	10	1	8	0	26	0	24	10	13	2	14	16	1	15	11	7	0	12	0	18	21
739	0	12	6	9	18	0	11	16	8	14	9	0	0	13	9	25	24	14	16	26	11	2	5	15	6	17	0	12	19	20	0	24	10	6	15	21	7	14	12	22	0	9	19	14	10	12	0	17	0	9	13	18	21	9	21	20	20	6	12	0	27	8	0	22	29	11	8	15	0	8	8	0	22	0	17	0	15	20	0	9	26	11	21	0	13	0	24	7	0	0	19	22	0	6	3	26	10	0	0	4	0	20	7	20	22	7	6	0	5	0	0	12	0	15	14	1	16	25	2	27	0	0	0	0	17	7	13	22	9	0	0	16	5	16	6	35	28	5	0	23	23	10	17	1	13	12	21	4	20	14	0	0	18	17	16	14	28	19	0	11	0	22	23	0	13	13	14	18	7	0	5	0	19	18	3	5	1	0	3	11	0	11	0	27	15	16	11	0	0	7	33	20	3	25	0	7	25	14	0	0	18	0	15	15	0	4	12	0	8	0	6	0	2	0	6	6	0	18	8	16	24	0	0	15	8	0	19	18	0	0	11	0	9	20	0	0	11	13	14	24	19	14	24	4	2	0	25	22	0	9	5	10	25	0	0	16	0	15	0	15	21	19	8	9	0	17	16	17	19	21	0	25	0	17	14	0	24	19	10	0	12	21	19	0	8	12	23	10	13	13	15	22	23	17	0	0	19	24	6	24	0	19	12	24	20	14	17	6	10	19	12	0	20	5	5	6	18	32	0	11	9	16	10	13	8	12	0	19	0	9	19	0	0	0	27	21	0	13	21	14	0	0	2	19	20	0	0	23	21	0	19	19	0	0	15	12	10	20	10	17	0	11	26	21	19	16	24	22	23	14	21	35	18
740	22	21	0	13	13	0	7	25	16	13	0	30	0	5	25	0	1	0	0	5	0	26	5	25	12	17	0	10	22	17	14	19	0	0	16	0	10	0	21	0	6	23	0	18	28	18	21	24	0	11	10	23	0	19	16	5	23	14	21	6	22	24	9	13	0	10	7	21	24	0	0	16	0	0	20	15	0	0	0	21	0	0	7	10	0	14	8	16	18	8	21	22	8	21	5	0	3	13	21	20	0	2	16	0	16	17	15	5	26	18	0	7	0	23	18	10	18	13	0	26	8	22	20	25	25	18	5	7	18	15	22	7	23	13	0	18	32	0	17	14	17	8	11	31	26	18	19	22	16	11	0	14	13	5	19	0	13	20	6	0	11	10	14	3	9	14	21	0	9	13	18	0	28	30	22	7	8	9	12	10	23	19	19	15	19	22	24	0	26	19	11	3	0	18	0	0	23	23	20	7	12	9	0	19	6	0	0	13	14	8	13	16	12	0	12	12	26	16	18	12	0	0	22	16	9	17	15	25	0	0	0	0	13	19	27	19	0	0	18	8	10	17	17	0	15	0	0	0	2	29	12	7	11	17	0	9	26	0	17	0	24	12	23	0	17	10	13	0	8	28	3	18	12	12	13	17	22	15	10	12	26	17	16	0	16	28	9	6	6	16	9	20	17	0	8	17	0	8	0	20	3	9	32	0	6	0	11	5	1	16	11	0	7	0	24	0	16	13	0	9	14	15	11	0	17	10	11	11	0	0	19	22	0	10	28	7	0	0	9	5	25	19	9	18	2	12	0	12	15	10	19	30	22	0	11	7	0	16	10	0	10	14	6	6	13	24	19	24	1	16	35	17	22
741	8	26	10	12	0	38	16	0	0	15	16	0	0	18	4	21	16	20	0	20	0	17	13	12	0	1	18	24	5	17	19	20	4	0	10	24	15	5	10	16	14	22	12	16	17	0	20	7	19	0	18	10	0	14	0	0	6	13	0	20	11	0	0	10	0	0	0	16	0	19	2	20	10	0	12	17	0	17	16	16	0	0	13	19	15	8	0	0	10	28	17	17	21	25	18	17	27	11	21	9	25	24	7	30	0	21	15	0	20	11	0	8	27	0	0	16	20	14	16	0	29	3	6	0	15	20	24	10	4	24	6	12	26	0	0	15	18	6	0	7	5	0	0	22	24	20	18	17	4	0	15	17	17	10	18	0	11	4	0	19	0	20	15	10	13	0	6	0	4	17	20	25	17	10	17	0	10	13	0	2	4	17	0	0	0	0	16	0	22	22	0	22	18	26	21	0	28	13	15	15	17	24	2	23	20	16	7	19	20	16	11	17	18	20	0	6	9	5	23	0	15	12	0	12	22	19	20	19	14	6	19	15	0	22	15	15	0	0	28	0	23	12	5	0	0	18	0	4	19	19	17	0	18	16	11	25	0	1	16	6	0	16	0	2	14	19	20	0	17	18	25	0	20	23	16	0	17	13	16	15	9	5	0	24	15	13	8	15	0	18	0	16	0	25	24	0	13	0	34	21	0	16	13	1	16	17	8	13	0	4	0	22	13	19	12	13	17	0	17	22	16	24	17	16	0	25	25	9	0	9	16	25	16	0	9	0	2	0	29	21	4	17	0	3	6	2	0	2	0	9	6	23	22	24	6	11	0	24	16	8	0	16	21	14	0	7	3	5	10	11	0	26	14
742	25	14	0	18	13	10	0	8	13	22	0	24	0	10	0	11	8	2	15	20	19	0	10	26	0	0	17	17	11	0	16	9	0	0	0	0	25	14	3	1	6	18	13	23	5	0	0	12	25	24	0	0	24	27	0	13	0	11	3	18	13	16	19	23	0	3	11	8	16	0	22	0	0	18	4	17	12	13	21	0	24	12	0	23	12	32	14	0	19	13	24	0	23	5	11	17	20	17	0	20	0	13	0	0	16	0	17	17	17	9	12	24	21	10	17	31	0	6	0	0	14	8	18	11	14	0	0	19	18	0	10	0	0	25	9	14	20	0	16	11	19	8	0	0	20	15	24	17	0	21	0	25	2	11	0	13	0	0	19	0	10	8	17	12	10	9	0	0	12	20	11	0	0	6	0	0	17	0	15	5	15	30	18	8	13	25	22	0	16	12	0	4	13	0	0	22	0	13	0	14	22	8	25	8	0	16	10	24	16	0	0	0	5	26	15	20	14	31	0	6	0	20	15	0	0	10	6	0	26	18	12	25	15	20	17	12	12	12	17	14	10	7	18	24	0	24	13	18	15	9	14	11	7	16	11	25	19	0	7	19	7	0	29	17	16	0	13	4	20	5	15	0	21	14	33	0	22	19	14	27	8	0	6	0	6	12	8	24	0	0	8	18	20	20	0	13	11	0	15	5	8	0	13	0	0	20	23	11	0	21	12	21	21	20	15	0	16	12	16	0	13	0	15	16	27	18	0	0	0	0	12	0	19	3	11	21	0	22	16	0	18	10	16	9	10	10	3	20	14	0	21	0	16	19	0	0	0	0	0	0	0	14	12	0	0	14	20	15	16	23	0	8	11
743	8	4	16	17	0	18	7	18	0	6	23	7	8	18	15	0	9	17	8	0	16	6	8	21	0	0	0	0	18	10	25	20	0	30	0	0	13	0	14	0	0	25	12	0	22	0	0	4	11	23	1	13	14	4	0	22	17	2	19	14	11	18	20	8	24	7	20	6	17	0	14	13	2	0	12	29	15	24	9	10	0	0	0	11	16	0	13	29	21	23	26	24	15	16	0	14	0	0	7	0	19	15	8	21	18	20	20	0	31	34	18	16	22	15	14	10	0	0	15	7	13	24	0	15	19	30	16	23	11	21	0	17	22	19	23	0	1	16	19	22	14	0	0	23	34	10	8	0	6	12	0	0	33	22	17	0	0	25	17	0	7	0	0	13	18	4	13	17	7	9	18	12	20	0	7	0	0	4	0	18	12	3	0	13	22	8	0	22	0	6	0	26	12	0	7	0	18	8	18	0	19	13	0	8	18	8	0	24	4	0	18	0	5	17	0	22	14	0	12	18	0	15	6	13	4	0	14	0	13	0	14	0	8	23	16	17	0	20	9	18	10	18	14	14	15	8	18	1	0	7	20	26	0	17	14	16	29	16	10	10	12	25	10	0	0	11	0	15	13	16	26	0	23	14	1	0	13	0	3	10	0	5	12	4	19	21	18	2	0	5	16	22	16	0	8	0	0	11	21	10	27	0	21	6	23	14	16	0	19	14	21	20	0	17	25	0	9	18	9	8	19	15	0	15	12	20	19	0	14	4	12	14	0	8	0	14	9	8	13	19	10	11	15	21	0	12	19	5	25	19	0	0	19	26	0	21	19	10	11	26	0	26	18	17	24	8	25	19	0	17	18	22	22
744	10	9	0	0	21	0	0	13	13	19	12	16	8	24	9	25	20	8	16	0	0	26	0	20	24	17	19	16	25	0	15	0	0	17	6	11	13	7	0	15	0	6	23	17	14	10	0	0	8	17	23	0	0	16	0	13	24	17	9	9	25	0	20	0	11	11	0	0	4	21	1	27	11	22	0	6	0	26	28	0	24	1	10	24	17	16	19	0	15	0	0	9	0	26	10	14	17	0	0	10	0	13	11	18	28	7	8	9	6	10	14	24	17	1	11	16	17	22	15	15	19	0	0	21	25	14	8	16	0	12	26	0	27	24	8	10	14	8	0	23	19	0	24	12	0	0	10	16	0	17	19	7	7	31	1	18	0	17	0	0	0	18	1	11	16	5	7	0	20	10	6	19	10	16	8	17	6	20	4	0	12	16	0	17	9	26	14	0	16	9	10	0	0	33	14	0	17	24	8	7	19	3	12	8	11	17	18	27	3	20	0	20	18	17	19	13	23	0	0	0	0	15	23	11	10	0	0	0	17	10	4	25	12	36	1	25	0	13	16	17	9	7	0	15	29	13	16	16	11	13	5	18	0	15	24	13	9	0	0	28	2	13	30	0	27	20	0	0	15	0	11	0	9	0	0	0	6	0	17	0	0	21	1	23	12	11	5	9	0	15	9	28	26	20	0	26	14	29	0	18	10	15	18	0	9	10	32	22	30	7	14	0	0	0	0	16	25	14	9	0	15	17	18	14	9	0	17	14	15	19	24	10	19	14	17	14	12	8	18	0	29	0	23	20	0	0	12	10	14	20	37	22	5	0	12	5	0	10	29	10	12	0	17	0	20	15	14	10	5	5	13	0	14
745	22	0	14	2	20	24	0	6	25	18	0	0	17	11	16	14	0	14	20	25	20	14	11	24	22	11	9	30	22	0	19	0	0	0	21	20	0	12	0	24	13	9	9	15	3	3	21	12	33	7	15	25	0	21	33	19	12	0	0	18	0	20	19	18	3	16	7	0	10	2	6	13	18	22	13	0	0	0	17	21	18	17	16	0	10	10	17	0	16	15	0	0	25	19	19	0	32	17	18	17	16	12	0	7	20	19	12	12	17	5	17	14	5	20	19	0	7	0	16	20	7	13	10	19	25	13	13	9	0	2	21	20	16	15	0	20	19	4	36	0	12	5	13	12	18	0	22	13	8	8	14	11	22	21	15	30	2	31	20	20	19	0	0	0	25	11	18	12	20	14	0	0	24	13	25	10	20	0	2	27	25	25	4	0	0	0	0	16	0	8	28	0	13	0	7	0	16	22	0	11	20	23	20	9	8	21	27	17	20	16	12	7	14	9	0	12	0	18	16	3	7	22	9	16	10	25	10	10	11	12	12	8	0	13	16	11	16	10	0	0	19	0	10	11	0	18	0	0	0	9	0	19	11	5	18	26	16	0	0	7	2	28	18	0	0	0	0	0	0	0	0	18	13	23	21	7	17	0	0	16	17	0	21	15	20	17	15	6	32	13	25	17	21	26	13	0	0	16	0	7	11	8	12	13	18	18	0	10	23	8	0	11	20	24	14	11	17	23	16	3	26	2	8	2	20	0	19	0	16	0	7	0	19	23	14	20	18	12	0	19	16	20	15	23	11	15	14	0	21	0	8	0	0	14	0	17	20	0	0	5	36	12	23	6	11	16	16	11	0	7	15	8	17
746	14	3	19	2	7	14	0	13	0	0	18	15	1	0	16	2	0	22	8	0	6	19	26	17	11	28	0	0	22	8	7	11	17	16	0	19	27	10	19	10	26	13	18	9	12	22	6	11	13	0	19	13	0	0	0	10	18	0	17	0	16	10	21	0	14	8	0	24	0	1	0	0	0	19	18	19	8	12	14	16	7	27	14	14	18	19	12	0	28	23	0	24	10	11	14	0	12	20	0	23	15	18	19	6	15	16	18	15	9	15	20	11	0	27	5	7	11	17	9	0	21	15	0	0	20	13	13	18	22	14	10	0	17	23	20	19	2	0	18	20	4	2	13	0	19	4	32	19	14	19	0	0	12	16	0	21	14	0	17	20	24	0	8	15	15	0	16	0	2	0	19	13	17	24	13	8	30	22	16	11	21	0	8	0	10	23	13	16	0	13	15	14	0	0	0	25	16	17	16	23	23	13	13	10	2	0	13	18	7	0	15	20	15	5	17	26	22	20	20	15	15	15	22	17	25	0	13	0	13	10	20	9	2	15	20	12	20	0	0	0	2	25	20	0	0	14	19	0	5	0	22	25	0	0	4	20	7	0	0	9	19	16	10	0	10	6	18	15	13	0	0	24	18	11	0	3	26	18	19	0	8	0	4	13	13	8	0	3	21	17	0	22	24	15	0	0	0	14	16	14	0	12	0	0	10	13	21	13	9	21	11	0	16	0	11	21	12	0	5	17	12	18	5	0	8	5	11	0	19	0	0	15	12	0	0	11	9	11	16	30	13	0	0	14	25	2	22	8	7	0	0	0	24	0	20	0	8	8	25	21	16	0	22	19	12	20	10	9	19	0	18	20	3
747	22	0	0	11	24	0	9	0	0	8	0	0	5	15	26	0	0	14	0	0	23	0	0	0	0	22	0	19	12	18	20	26	24	12	7	7	0	0	9	16	22	17	8	11	17	4	16	8	13	23	11	10	0	0	4	0	0	0	21	14	11	9	0	0	1	0	0	0	13	0	0	20	18	0	25	9	0	12	22	20	26	20	0	16	11	13	14	19	0	19	17	13	15	16	0	5	0	18	15	10	6	1	23	9	11	15	0	8	14	11	7	0	30	12	16	0	13	24	6	19	11	0	5	17	10	16	6	22	6	24	8	0	17	10	16	1	15	4	18	20	22	10	7	10	0	0	16	0	0	0	4	2	26	13	7	9	23	7	26	15	20	0	13	0	24	17	3	0	0	21	18	27	12	13	18	16	27	20	11	17	13	15	17	18	8	19	14	0	17	9	18	14	0	15	0	23	0	0	17	27	0	11	0	30	0	7	16	0	0	0	11	10	2	0	28	21	21	23	0	19	0	0	0	20	13	16	15	17	0	10	7	16	18	10	5	0	8	25	0	4	19	2	0	0	17	14	11	12	20	8	0	26	1	0	14	9	8	5	21	20	13	15	21	13	13	15	11	23	15	14	0	6	0	0	0	19	12	12	17	32	21	0	0	19	0	14	12	16	19	18	13	14	4	0	17	0	12	14	14	22	0	0	15	21	21	0	13	0	16	0	29	0	0	11	0	16	14	0	10	28	7	6	9	28	16	18	15	0	17	11	0	16	13	22	19	7	0	18	0	4	0	0	15	11	12	29	11	0	19	15	14	0	0	20	0	0	0	17	19	19	6	30	13	23	8	0	12	21	0	0	20	3	14
748	14	0	17	0	7	18	16	10	0	0	0	25	13	12	8	9	21	3	20	3	0	7	5	23	16	13	20	18	21	0	13	18	20	15	22	19	6	0	26	17	3	9	16	0	0	0	23	23	24	0	11	0	0	12	4	15	22	24	0	0	4	14	14	8	14	16	16	20	11	11	18	21	16	15	7	19	0	15	0	0	30	23	0	24	0	15	18	11	9	13	17	0	6	0	18	6	0	3	0	13	0	16	0	12	26	13	29	5	17	21	4	0	22	0	23	0	20	0	21	16	20	19	13	17	9	23	12	0	16	7	23	25	12	0	24	0	17	0	0	8	22	6	0	7	11	16	0	14	5	14	23	0	16	0	18	28	1	17	10	8	11	21	14	8	12	15	15	0	21	13	17	0	22	18	19	14	0	0	15	26	3	0	32	0	0	16	12	38	11	18	14	0	19	21	20	9	22	10	0	25	0	21	7	13	0	19	16	0	27	0	8	15	17	9	10	15	12	18	23	0	0	11	20	11	8	15	0	13	13	10	0	22	21	22	26	17	0	0	13	14	0	13	0	0	0	20	23	24	0	0	19	5	2	4	0	0	0	23	29	19	12	26	16	5	17	21	14	0	19	2	0	23	21	5	12	0	23	16	5	19	19	0	16	2	2	9	28	31	14	24	0	9	0	11	21	13	0	12	16	9	19	0	18	6	19	1	10	24	0	19	0	23	11	13	22	15	0	22	7	0	0	27	10	0	14	11	0	0	26	19	0	0	0	30	23	9	23	9	7	13	15	15	17	0	0	0	11	13	11	13	6	0	0	11	0	7	19	18	3	16	0	26	24	0	16	20	23	15	21	19	0	12	22
749	15	0	22	0	24	16	0	9	20	18	12	9	24	16	15	9	12	8	0	7	0	7	20	9	19	21	14	0	8	17	16	12	18	15	6	17	16	16	10	0	0	0	0	16	14	14	10	16	29	16	7	10	0	14	0	23	23	11	29	32	30	8	0	10	15	22	20	19	16	8	4	0	0	0	13	0	9	19	12	17	14	0	22	4	17	0	0	18	20	24	16	22	11	16	25	0	18	12	26	0	7	0	0	0	0	16	0	0	20	29	2	9	12	0	19	29	0	4	0	21	14	12	21	3	0	16	0	20	0	3	28	18	12	21	0	0	11	0	14	9	0	26	20	14	0	12	10	24	17	3	24	12	6	12	19	20	25	0	22	23	24	0	0	9	0	0	16	0	15	0	21	7	25	13	17	4	12	13	24	0	1	15	10	17	11	0	0	17	6	4	9	0	14	0	10	11	21	0	13	7	25	21	16	18	16	23	8	15	24	11	0	0	15	33	0	8	13	19	16	2	10	20	18	13	22	11	15	18	1	4	0	10	20	22	18	16	16	0	0	8	5	16	14	0	9	13	13	26	0	17	0	15	10	8	25	19	1	4	0	0	19	0	0	9	12	3	22	0	13	25	14	18	10	0	22	9	24	14	6	11	18	12	9	0	18	20	0	9	7	8	3	10	20	11	32	0	14	19	24	0	15	21	6	24	10	0	0	9	21	8	9	20	0	22	24	22	17	8	2	0	17	0	0	6	13	0	8	23	0	0	0	19	8	0	11	15	0	7	0	11	26	0	11	5	10	16	11	23	8	0	11	27	20	18	18	0	18	19	18	30	0	16	18	0	12	26	10	7	0	14	17	11	21
